"","colonyID","tagNumber","qwm","callow","block"
"185","BI217",1694,"Worker","NaN",1
"186","BI217",1908,"Worker","NaN",1
"187","BI217",1873,"Worker","NaN",1
"188","BI217",1757,"Worker","NaN",1
"189","BI217",1657,"Worker","NaN",1
"190","BI217",1943,"Worker","NaN",1
"191","BI217",1816,"Worker","NaN",1
"192","BI217",2865,"Worker","NaN",1
"193","BI217",1789,"Male","NaN",1
"194","BI217",1815,"Worker","NaN",1
"195","BI217",1915,"Worker","NaN",1
"196","BI217",867,"Worker","NaN",1
"197","BI217",1876,"Worker","NaN",1
"198","BI217",3206,"Worker","NaN",1
"199","BI217",1753,"Worker","NaN",1
"200","BI217",1133,"Worker","NaN",1
"201","BI217",1783,"Worker","NaN",1
"202","BI217",3202,"Worker","NaN",1
"203","BI217",1153,"Worker","NaN",1
"204","BI217",2011,"Worker","NaN",1
"205","BI217",1722,"Worker","NaN",1
"206","BI217",1128,"Worker","NaN",1
"207","BI217",849,"Worker","NaN",1
"208","BI217",1198,"Worker","NaN",1
"209","BI217",1779,"Worker","NaN",1
"210","BI217",1778,"Worker","NaN",1
"211","BI217",3188,"Worker","NaN",1
"212","BI217",1684,"Worker","NaN",1
"213","BI217",1939,"Worker","NaN",1
"214","BI217",1751,"Worker","NaN",1
"215","BI217",1100,"Worker","NaN",1
"216","BI217",2836,"Worker","NaN",1
"217","BI217",1681,"Worker","NaN",1
"218","BI217",1716,"Worker","NaN",1
"219","BI217",1872,"Worker","NaN",1
"220","BI217",423,"Worker","NaN",1
"221","BI217",1747,"Worker","NaN",1
"222","BI217",3209,"Worker","NaN",1
"223","BI217",2069,"Queen","NaN",1
"224","BI217",1821,"Worker","NaN",1
"225","BI217",1712,"Worker","NaN",1
"226","BI217",956,"Worker","NaN",1
"227","BI217",353,"Worker","NaN",1
"228","BI217",991,"Worker","NaN",1
"229","BI217",957,"Worker","NaN",1
"230","BI217",1843,"Worker","NaN",1
"231","BI217",1651,"Worker","NaN",1
"232","BI217",3179,"Worker","NaN",1
"233","BI217",2847,"Worker","NaN",1
"234","BI217",1685,"Worker","NaN",1
"235","BI217",1782,"Worker","NaN",1
"236","BI217",1727,"Worker","NaN",1
"237","BI217",1061,"Worker","NaN",1
"238","BI217",1980,"Worker","NaN",1
"239","BI217",1097,"Worker","NaN",1
"240","BI217",532,"Worker","NaN",1
"241","BI217",921,"Worker","NaN",1
"242","BI217",1152,"Worker","NaN",1
"243","BI217",890,"Worker","NaN",1
"244","BI217",1025,"Worker","NaN",1
"245","BI217",1975,"Worker","NaN",1
"246","BI217",1909,"Worker","NaN",1
"247","BI217",195,"Worker","NaN",1
"248","BI217",1123,"Worker","NaN",1
"249","BI217",1948,"Worker","NaN",1
"250","BI217",3067,"Worker","NaN",1
"251","BI217",3069,"Worker","NaN",1
"252","BI217",3203,"Worker","NaN",1
"253","BI217",3003,"Worker","NaN",1
"254","BI217",3212,"Worker","NaN",1
"255","BI217",1195,"Worker","NaN",1
"256","BI217",1961,"Worker","NaN",1
"257","BI217",950,"Worker","NaN",1
"258","BI217",3027,"Worker","NaN",1
"259","BI217",2879,"Worker","NaN",1
"260","BI217",919,"Worker","NaN",1
"261","BI217",1132,"Worker","NaN",1
