"","colonyID","tagNumber","qwm","callow","block"
"95","BI91",6310,"Worker","NaN",1
"96","BI91",1446,"Worker","NaN",1
"97","BI91",6479,"Worker","NaN",1
"98","BI91",2610,"Queen","NaN",1
"99","BI91",1482,"Worker","NaN",1
"100","BI91",6359,"Worker","NaN",1
"101","BI91",6255,"Worker","NaN",1
"102","BI91",6254,"Worker","NaN",1
"103","BI91",6249,"Worker","NaN",1
"104","BI91",914,"Worker","NaN",1
"105","BI91",1421,"Worker","NaN",1
"106","BI91",6212,"Worker","NaN",1
"107","BI91",6411,"Worker","NaN",1
"108","BI91",6373,"Worker","NaN",1
"109","BI91",6337,"Worker","NaN",1
"110","BI91",1377,"Worker","NaN",1
"111","BI91",2614,"Worker","NaN",1
"112","BI91",1410,"Worker","NaN",1
"113","BI91",859,"Worker","NaN",1
"114","BI91",6372,"Worker","NaN",1
"115","BI91",6340,"Worker","NaN",1
"116","BI91",6281,"Worker","NaN",1
