"","colonyID","tagNumber","qwm","callow","block"
"117","BI183",2805,"Worker","NaN",1
"118","BI183",1623,"Worker","NaN",1
"119","BI183",1222,"Queen","NaN",1
"120","BI183",1256,"Worker","NaN",1
"121","BI183",2537,"Worker","NaN",1
"122","BI183",2640,"Worker","NaN",1
"123","BI183",1472,"Worker","NaN",1
"124","BI183",2641,"Worker","NaN",1
"125","BI183",1588,"Worker","NaN",1
"126","BI183",2810,"Worker","NaN",1
"127","BI183",1509,"Worker","NaN",1
"128","BI183",1473,"Worker","NaN",1
"129","BI183",1477,"Worker","NaN",1
"130","BI183",1624,"Worker","NaN",1
"131","BI183",1556,"Worker","NaN",1
"132","BI183",2413,"Worker","NaN",1
"133","BI183",2588,"Worker","NaN",1
"134","BI183",1552,"Worker","NaN",1
"135","BI183",2433,"Worker","NaN",1
"136","BI183",1260,"Worker","NaN",1
"137","BI183",1380,"Worker","NaN",1
"138","BI183",1359,"Worker","NaN",1
"139","BI183",2769,"Worker","NaN",1
"140","BI183",1563,"Worker","NaN",1
"141","BI183",1321,"Worker","NaN",1
"142","BI183",2687,"Worker","NaN",1
