"","colonyID","tagNumber","qwm","callow","block"
"1428","BB248",1071,"Worker","NaN",1
"1429","BB248",1129,"Male","Callow",1
"1430","BB248",859,"Worker","NaN",1
"1431","BB248",1095,"Queen","NaN",1
"1432","BB248",425,"Worker","NaN",1
"1433","BB248",1019,"Worker","NaN",1
"1434","BB248",1070,"Worker","NaN",1
"1435","BB248",235,"Worker","NaN",1
"1436","BB248",1163,"Worker","NaN",1
"1437","BB248",1090,"Worker","NaN",1
"1438","BB248",1018,"Worker","NaN",1
"1439","BB248",14,"Worker","NaN",1
"1440","BB248",1101,"Male","Callow",1
