"","colonyID","tagNumber","qwm","callow","block"
"47","BI10",300,"Queen","NaN",1
"48","BI10",129,"Worker","NaN",1
"49","BI10",320,"Worker","NaN",1
"50","BI10",1319,"Worker","NaN",1
"51","BI10",164,"Worker","NaN",1
"52","BI10",109,"Worker","NaN",1
"53","BI10",194,"Worker","NaN",1
"54","BI10",197,"Worker","NaN",1
"55","BI10",2611,"Worker","NaN",1
"56","BI10",295,"Worker","NaN",1
"57","BI10",166,"Worker","NaN",1
"58","BI10",171,"Worker","NaN",1
"59","BI10",18,"Worker","NaN",1
"60","BI10",228,"Worker","NaN",1
"61","BI10",676,"Worker","NaN",1
"62","BI10",71,"Worker","NaN",1
"63","BI10",1349,"Worker","NaN",1
"64","BI10",1225,"Worker","NaN",1
"65","BI10",267,"Worker","NaN",1
"66","BI10",200,"Worker","NaN",1
"67","BI10",77,"Worker","NaN",1
