"","colonyID","tagNumber","qwm","callow","block"
"1598","BI84",6373,"Queen","NaN",1
"1599","BI84",4089,"Worker","NaN",1
"1600","BI84",4323,"Worker","NaN",1
"1601","BI84",5014,"Worker","NaN",1
"1602","BI84",6278,"Worker","NaN",1
"1603","BI84",4514,"Worker","Callow",1
"1604","BI84",6275,"Worker","NaN",1
"1605","BI84",6473,"Worker","NaN",1
"1606","BI84",4327,"Worker","NaN",1
"1607","BI84",6479,"Worker","NaN",1
"1608","BI84",4296,"Worker","NaN",1
"1609","BI84",4387,"Worker","NaN",1
"1610","BI84",6437,"Worker","NaN",1
"1611","BI84",4417,"Worker","NaN",1
"1612","BI84",4166,"Worker","NaN",1
"1613","BI84",4690,"Worker","NaN",1
"1614","BI84",4701,"Worker","NaN",1
"1615","BI84",4225,"Worker","NaN",1
"1616","BI84",6470,"Worker","NaN",1
"1617","BI84",6279,"Worker","NaN",1
"1618","BI84",2375,"Worker","NaN",1
"1619","BI84",4201,"Worker","NaN",1
"1620","BI84",6222,"Worker","NaN",1
"1621","BI84",4393,"Worker","NaN",1
"1622","BI84",4727,"Worker","NaN",1
"1623","BI84",6178,"Worker","NaN",1
"1624","BI84",4397,"Worker","NaN",1
"1625","BI84",4291,"Worker","NaN",1
"1626","BI84",6337,"Worker","NaN",1
"1627","BI84",6139,"Worker","NaN",1
"1628","BI84",6110,"Worker","NaN",1
"1629","BI84",6280,"Worker","NaN",1
"1630","BI84",4196,"Worker","Callow",1
"1631","BI84",4110,"Worker","NaN",1
"1632","BI84",4030,"Worker","NaN",1
"1633","BI84",5124,"Worker","NaN",1
"1634","BI84",4732,"Worker","NaN",1
"1635","BI84",4329,"Worker","NaN",1
"1636","BI84",6133,"Worker","NaN",1
"1637","BI84",4257,"Worker","NaN",1
"1638","BI84",4235,"Worker","NaN",1
"1639","BI84",4416,"Worker","NaN",1
"1640","BI84",4297,"Worker","NaN",1
"1641","BI84",6241,"Worker","NaN",1
