"","colonyID","tagNumber","qwm","callow","block"
"1415","BG239",1023,"Queen_n","NaN",1
"1416","BG239",987,"Queen_n","NaN",1
"1417","BG239",914,"Worker","NaN",1
"1418","BG239",489,"Worker","NaN",1
"1419","BG239",1067,"Worker","NaN",1
"1420","BG239",953,"Queen_n","NaN",1
"1421","BG239",880,"Worker","NaN",1
"1422","BG239",790,"Queen_n","NaN",1
"1423","BG239",407,"Worker","NaN",1
"1424","BG239",1038,"Worker","NaN",1
"1425","BG239",329,"Worker","NaN",1
"1426","BG239",1028,"Queen","NaN",1
"1427","BG239",1096,"Queen_n","NaN",1
