"","colonyID","tagNumber","qwm","callow","block"
"320","BB86",428,"Queen_n","NaN",1
"321","BB86",462,"Queen_n","NaN",1
"322","BB86",1847,"Male","NaN",1
"323","BB86",495,"Male","NaN",1
"324","BB86",1035,"Male","NaN",1
"325","BB86",1199,"Male","NaN",1
"326","BB86",633,"Worker","NaN",1
"327","BB86",1914,"Worker","NaN",1
"328","BB86",951,"Male","NaN",1
"329","BB86",863,"Male","NaN",1
"330","BB86",2801,"Male","NaN",1
"331","BB86",595,"Male","NaN",1
"332","BB86",1690,"Worker","NaN",1
"333","BB86",1820,"Worker","NaN",1
"334","BB86",175,"Male","NaN",1
"335","BB86",2864,"Queen","NaN",1
"336","BB86",2033,"Male","NaN",1
"337","BB86",1094,"Worker","NaN",1
"338","BB86",980,"Male","NaN",1
"339","BB86",1852,"Male","NaN",1
"340","BB86",1976,"Worker","NaN",1
"341","BB86",2004,"Male","NaN",1
"342","BB86",1060,"Worker","NaN",1
