"","colonyID","tagNumber","qwm","callow","block"
"715","BI80",5134,"Male","NaN",1
"716","BI80",6401,"Worker","NaN",1
"717","BI80",6369,"Male","NaN",1
"718","BI80",6442,"Worker","NaN",1
"719","BI80",4914,"Worker","NaN",1
"720","BI80",5156,"Worker","NaN",1
"721","BI80",6373,"Male","NaN",1
"722","BI80",3710,"Male","NaN",1
"723","BI80",6331,"Male","NaN",1
"724","BI80",6285,"Male","NaN",1
"725","BI80",4986,"Male","NaN",1
"726","BI80",6433,"Male","NaN",1
"727","BI80",5163,"Queen_n","NaN",1
"728","BI80",6254,"Worker","NaN",1
"729","BI80",6372,"Worker","NaN",1
"730","BI80",6240,"Worker","NaN",1
"731","BI80",6350,"Queen_n","NaN",1
"732","BI80",6279,"Queen_n","NaN",1
"733","BI80",6106,"Queen_n","NaN",1
"734","BI80",4915,"Worker","NaN",1
"735","BI80",4977,"Male","NaN",1
"736","BI80",5115,"Worker","NaN",1
"737","BI80",5105,"Male","NaN",1
"738","BI80",3669,"Queen_n","NaN",1
"739","BI80",6096,"Male","NaN",1
"740","BI80",5086,"Queen_n","NaN",1
"741","BI80",5014,"Male","NaN",1
"742","BI80",6142,"Worker","NaN",1
"743","BI80",6313,"Worker","NaN",1
"744","BI80",6179,"Male","NaN",1
"745","BI80",6189,"Queen_n","NaN",1
"746","BI80",4958,"Male","NaN",1
"747","BI80",6437,"Queen_n","NaN",1
"748","BI80",4882,"Queen_n","NaN",1
"749","BI80",6101,"Male","NaN",1
"750","BI80",6324,"Queen_n","NaN",1
"751","BI80",5126,"Male","NaN",1
"752","BI80",3696,"Worker","NaN",1
"753","BI80",4918,"Queen_n","NaN",1
"754","BI80",6107,"Queen_n","NaN",1
"755","BI80",5191,"Worker","NaN",1
"756","BI80",3739,"Male","NaN",1
"757","BI80",5052,"Queen_n","NaN",1
