"","colonyID","tagNumber","qwm","callow","block"
"633","BB37",3399,"Worker","NaN",1
"634","BB37",3268,"Worker","NaN",1
"635","BB37",2148,"Worker","NaN",1
"636","BB37",3335,"Worker","NaN",1
"637","BB37",947,"Worker","NaN",1
"638","BB37",3488,"Worker","NaN",1
"639","BB37",3117,"Worker","NaN",1
"640","BB37",3532,"Worker","NaN",1
"641","BB37",2319,"Worker","NaN",1
"642","BB37",3435,"Worker","NaN",1
"643","BB37",3457,"Worker","NaN",1
"644","BB37",3007,"Worker","NaN",1
"645","BB37",3575,"Worker","NaN",1
"646","BB37",2878,"Worker","NaN",1
"647","BB37",2087,"Worker","NaN",1
"648","BB37",3405,"Worker","NaN",1
"649","BB37",2272,"Worker","NaN",1
"650","BB37",3564,"Worker","NaN",1
"651","BB37",2211,"Worker","NaN",1
"652","BB37",3077,"Worker","NaN",1
"653","BB37",2287,"Worker","NaN",1
"654","BB37",3095,"Worker","NaN",1
