"","colonyID","tagNumber","qwm","callow","block"
"1530","BI156",4728,"Worker","NaN",1
"1531","BI156",6212,"Worker","NaN",1
"1532","BI156",4270,"Worker","NaN",1
"1533","BI156",6294,"Worker","NaN",1
"1534","BI156",6382,"Worker","NaN",1
"1535","BI156",6138,"Worker","NaN",1
"1536","BI156",4260,"Worker","NaN",1
"1537","BI156",4295,"Worker","NaN",1
"1538","BI156",6142,"Worker","NaN",1
"1539","BI156",6156,"Worker","NaN",1
"1540","BI156",4518,"Worker","NaN",1
"1541","BI156",6405,"Worker","Callow",1
"1542","BI156",6101,"Worker","NaN",1
"1543","BI156",6107,"Worker","NaN",1
"1544","BI156",4051,"Worker","NaN",1
"1545","BI156",6129,"Worker","NaN",1
"1546","BI156",6146,"Worker","NaN",1
"1547","BI156",4326,"Worker","NaN",1
"1548","BI156",4430,"Worker","NaN",1
"1549","BI156",6341,"Worker","NaN",1
"1550","BI156",6184,"Worker","Callow",1
"1551","BI156",6157,"Worker","NaN",1
"1552","BI156",5073,"Worker","NaN",1
"1553","BI156",6359,"Worker","NaN",1
"1554","BI156",4364,"Worker","NaN",1
"1555","BI156",386,"Worker","NaN",1
"1556","BI156",4106,"Worker","NaN",1
"1557","BI156",230,"Worker","NaN",1
"1558","BI156",4322,"Worker","NaN",1
"1559","BI156",6369,"Worker","NaN",1
"1560","BI156",4358,"Worker","NaN",1
"1561","BI156",4139,"Worker","NaN",1
"1562","BI156",4097,"Worker","NaN",1
"1563","BI156",3807,"Worker","NaN",1
"1564","BI156",4656,"Worker","NaN",1
"1565","BI156",4361,"Worker","NaN",1
"1566","BI156",4111,"Worker","NaN",1
"1567","BI156",2409,"Worker","NaN",1
"1568","BI156",4057,"Worker","NaN",1
"1569","BI156",6255,"Worker","NaN",1
"1570","BI156",3834,"Worker","NaN",1
"1571","BI156",6218,"Worker","Callow",1
"1572","BI156",4753,"Worker","Callow",1
"1573","BI156",6360,"Worker","Callow",1
"1574","BI156",6096,"Worker","Callow",1
"1575","BI156",6188,"Worker","Callow",1
"1576","BI156",4823,"Worker","NaN",1
"1577","BI156",4524,"Worker","NaN",1
"1578","BI156",6284,"Worker","NaN",1
"1579","BI156",4696,"Worker","NaN",1
"1580","BI156",6183,"Worker","NaN",1
"1581","BI156",4386,"Worker","NaN",1
"1582","BI156",6404,"Worker","NaN",1
"1583","BI156",5072,"Worker","NaN",1
"1584","BI156",6151,"Worker","NaN",1
"1585","BI156",6097,"Worker","NaN",1
"1586","BI156",6208,"Worker","NaN",1
"1587","BI156",6372,"Worker","NaN",1
"1588","BI156",6442,"Worker","NaN",1
"1589","BI156",6161,"Worker","NaN",1
"1590","BI156",6378,"Worker","NaN",1
"1591","BI156",4726,"Worker","NaN",1
"1592","BI156",6340,"Worker","NaN",1
"1593","BI156",4954,"Worker","NaN",1
"1594","BI156",6132,"Worker","NaN",1
"1595","BI156",4087,"Worker","NaN",1
"1596","BI156",4060,"Worker","NaN",1
"1597","BI156",6379,"Queen","NaN",1
