"","colonyID","tagNumber","qwm","callow","block"
"1254","BG234",6632,"Male","NaN",1
"1255","BG234",6901,"male","NaN",1
"1256","BG234",6010,"Male","NaN",1
"1257","BG234",7334,"Worker","NaN",1
"1258","BG234",7308,"Queen","NaN",1
"1259","BG234",7180,"Male","NaN",1
"1260","BG234",6769,"Worker","NaN",1
"1261","BG234",5752,"Male","NaN",1
"1262","BG234",5913,"Male","NaN",1
"1263","BG234",6565,"Male","NaN",1
"1264","BG234",6703,"Male","NaN",1
"1265","BG234",7123,"Worker","NaN",1
"1266","BG234",6695,"Male","NaN",1
"1267","BG234",5905,"Worker","NaN",1
"1268","BG234",6674,"Worker","NaN",1
"1269","BG234",5876,"Male","NaN",1
"1270","BG234",5818,"Male","NaN",1
