"","colonyID","tagNumber","qwm","callow","block"
"1189","BI09",7237,"Worker","NaN",1
"1190","BI09",7272,"Worker","NaN",1
"1191","BI09",7246,"Worker","NaN",1
"1192","BI09",7271,"Worker","NaN",1
"1193","BI09",5872,"Worker","Callow",1
"1194","BI09",5969,"Worker","NaN",1
"1195","BI09",5944,"Worker","NaN",1
"1196","BI09",6961,"Worker","NaN",1
"1197","BI09",6658,"Worker","NaN",1
"1198","BI09",6964,"Worker","NaN",1
"1199","BI09",6773,"Worker","NaN",1
"1200","BI09",7330,"Worker","NaN",1
"1201","BI09",5823,"Worker","NaN",1
"1202","BI09",7025,"Worker","NaN",1
"1203","BI09",6869,"Worker","NaN",1
"1204","BI09",5715,"Worker","NaN",1
"1205","BI09",6634,"Worker","NaN",1
"1206","BI09",6835,"Worker","NaN",1
"1207","BI09",6878,"Worker","NaN",1
"1208","BI09",7133,"Worker","NaN",1
"1209","BI09",7038,"Worker","NaN",1
"1210","BI09",6960,"Worker","NaN",1
"1211","BI09",5809,"Worker","NaN",1
"1212","BI09",7039,"Worker","NaN",1
"1213","BI09",6975,"Worker","NaN",1
"1214","BI09",7232,"Worker","Callow",1
"1215","BI09",6599,"Worker","NaN",1
"1216","BI09",6931,"Worker","NaN",1
"1217","BI09",6574,"Worker","NaN",1
"1218","BI09",6778,"Worker","NaN",1
"1219","BI09",6899,"Worker","NaN",1
"1220","BI09",7247,"Worker","NaN",1
"1221","BI09",6909,"Worker","NaN",1
"1222","BI09",5813,"Worker","Callow",1
"1223","BI09",6782,"Worker","NaN",1
"1224","BI09",5848,"Worker","NaN",1
"1225","BI09",5724,"Worker","NaN",1
"1226","BI09",6838,"Worker","NaN",1
"1227","BI09",6637,"Worker","NaN",1
"1228","BI09",7209,"Worker","NaN",1
"1229","BI09",6906,"Worker","NaN",1
"1230","BI09",6864,"Worker","NaN",1
"1231","BI09",5918,"Worker","NaN",1
"1232","BI09",6575,"Worker","NaN",1
"1233","BI09",6688,"Worker","NaN",1
"1234","BI09",7265,"Worker","NaN",1
"1235","BI09",5973,"Worker","NaN",1
"1236","BI09",5695,"Worker","NaN",1
"1237","BI09",5972,"Worker","NaN",1
"1238","BI09",6003,"Worker","NaN",1
"1239","BI09",5910,"Queen","NaN",1
"1240","BI09",5819,"Worker","NaN",1
"1241","BI09",7001,"Worker","NaN",1
"1242","BI09",6561,"Worker","NaN",1
"1243","BI09",7172,"Worker","NaN",1
"1244","BI09",6723,"Worker","NaN",1
"1245","BI09",7298,"Worker","NaN",1
"1246","BI09",7028,"Worker","NaN",1
"1247","BI09",7056,"Worker","NaN",1
"1248","BI09",6710,"Worker","NaN",1
"1249","BI09",5919,"Worker","NaN",1
"1250","BI09",5847,"Worker","NaN",1
"1251","BI09",6903,"Worker","NaN",1
"1252","BI09",6879,"Worker","NaN",1
"1253","BI09",7269,"Worker","NaN",1
