"","colonyID","tagNumber","qwm","callow","block"
"788","BI89",5482,"Worker","NaN",1
"789","BI89",3933,"Worker","NaN",1
"790","BI89",5082,"Worker","NaN",1
"791","BI89",4991,"Worker","NaN",1
"792","BI89",5415,"Worker","NaN",1
"793","BI89",5662,"Worker","NaN",1
"794","BI89",5572,"Worker","NaN",1
"795","BI89",5291,"Worker","NaN",1
"796","BI89",3768,"Worker","NaN",1
"797","BI89",6223,"Worker","NaN",1
"798","BI89",4986,"Worker","NaN",1
"799","BI89",4784,"Worker","NaN",1
"800","BI89",5105,"Worker","NaN",1
"801","BI89",5486,"Worker","NaN",1
"802","BI89",4958,"Worker","NaN",1
"803","BI89",5249,"Worker","NaN",1
"804","BI89",3932,"Worker","NaN",1
"805","BI89",4169,"Worker","NaN",1
"806","BI89",5516,"Worker","NaN",1
"807","BI89",3701,"Worker","NaN",1
"808","BI89",5252,"Worker","NaN",1
"809","BI89",4980,"Worker","NaN",1
"810","BI89",3998,"Worker","NaN",1
"811","BI89",5163,"Worker","NaN",1
"812","BI89",4162,"Worker","NaN",1
"813","BI89",4167,"Worker","NaN",1
"814","BI89",5421,"Worker","NaN",1
"815","BI89",5248,"Worker","NaN",1
"816","BI89",5223,"Worker","NaN",1
"817","BI89",5226,"Worker","NaN",1
"818","BI89",3989,"Worker","NaN",1
"819","BI89",5187,"Worker","NaN",1
"820","BI89",4431,"Worker","NaN",1
"821","BI89",4205,"Worker","NaN",1
"822","BI89",5327,"Worker","NaN",1
"823","BI89",6189,"Worker","NaN",1
"824","BI89",4301,"Worker","NaN",1
"825","BI89",3769,"Worker","NaN",1
"826","BI89",5423,"Worker","NaN",1
"827","BI89",5545,"Worker","NaN",1
"828","BI89",6185,"Worker","NaN",1
"829","BI89",4204,"Worker","NaN",1
"830","BI89",4554,"Worker","NaN",1
"831","BI89",3763,"Worker","NaN",1
"832","BI89",5652,"Worker","NaN",1
"833","BI89",5120,"Worker","NaN",1
"834","BI89",5190,"Worker","NaN",1
"835","BI89",3888,"Worker","NaN",1
"836","BI89",6350,"Worker","NaN",1
"837","BI89",5443,"Worker","NaN",1
"838","BI89",4893,"Worker","NaN",1
"839","BI89",5042,"Worker","NaN",1
"840","BI89",5600,"Worker","NaN",1
"841","BI89",3675,"Worker","NaN",1
"842","BI89",3711,"Worker","NaN",1
"843","BI89",3825,"Worker","NaN",1
"844","BI89",5192,"Worker","NaN",1
