"","colonyID","tagNumber","qwm","callow","block"
"1766","BB39",754,"Worker","NaN",1
"1767","BB39",819,"Worker","NaN",1
"1768","BB39",733,"Worker","NaN",1
"1769","BB39",788,"Worker","NaN",1
"1770","BB39",822,"Worker","NaN",1
"1771","BB39",1286,"Male","NaN",1
"1772","BB39",1224,"Male","NaN",1
"1773","BB39",528,"Male","NaN",1
"1774","BB39",529,"Worker","NaN",1
"1775","BB39",4,"Male","NaN",1
"1776","BB39",179,"Worker","NaN",1
"1777","BB39",128,"Worker","NaN",1
"1778","BB39",726,"Worker","NaN",1
"1779","BB39",36,"Worker","NaN",1
"1780","BB39",169,"Worker","NaN",1
"1781","BB39",539,"Queen","NaN",1
"1782","BB39",1557,"Worker","NaN",1
"1783","BB39",494,"Male","NaN",1
"1784","BB39",758,"Worker","NaN",1
"1785","BB39",819,"Worker","NaN",1
"1786","BB39",561,"Worker","NaN",1
"1787","BB39",796,"Worker","NaN",1
"1788","BB39",533,"Male","NaN",1
