"","colonyID","tagNumber","qwm","callow","block"
"68","BI196",324,"Worker","NaN",1
"69","BI196",2540,"Worker","NaN",1
"70","BI196",32,"Worker","NaN",1
"71","BI196",262,"Worker","NaN",1
"72","BI196",98,"Worker","NaN",1
"73","BI196",1411,"Worker","NaN",1
"74","BI196",2443,"Worker","NaN",1
"75","BI196",227,"Worker","NaN",1
"76","BI196",1376,"Worker","NaN",1
"77","BI196",1283,"Worker","NaN",1
"78","BI196",326,"Worker","NaN",1
"79","BI196",2650,"Worker","NaN",1
"80","BI196",293,"Worker","NaN",1
"81","BI196",291,"Worker","NaN",1
"82","BI196",298,"Worker","NaN",1
"83","BI196",2412,"Worker","NaN",1
"84","BI196",2536,"Male","Callow",1
"85","BI196",43,"Worker","NaN",1
"86","BI196",1366,"Male","Callow",1
"87","BI196",233,"Queen","NaN",1
"88","BI196",204,"Worker","NaN",1
"89","BI196",268,"Worker","NaN",1
"90","BI196",1618,"Worker","NaN",1
"91","BI196",2683,"Worker","NaN",1
"92","BI196",108,"Worker","NaN",1
"93","BI196",11,"Worker","NaN",1
"94","BI196",1483,"Worker","NaN",1
