"","colonyID","tagNumber","qwm","callow","block"
"655","BB53",6684,"Queen_n","NaN",1
"656","BB53",5968,"Male","NaN",1
"657","BB53",6929,"Worker","NaN",1
"658","BB53",7083,"Male","NaN",1
"659","BB53",6675,"Male","NaN",1
"660","BB53",5849,"Male","NaN",1
"661","BB53",7057,"Male","NaN",1
"662","BB53",6679,"Queen_n","NaN",1
"663","BB53",6844,"Worker","NaN",1
"664","BB53",7274,"Male","NaN",1
"665","BB53",6509,"Male","NaN",1
"666","BB53",6995,"Male","NaN",1
"667","BB53",5751,"Worker","NaN",1
"668","BB53",7089,"Queen_n","NaN",1
"669","BB53",4924,"Male","NaN",1
"670","BB53",6595,"Queen_n","NaN",1
"671","BB53",6798,"Male","NaN",1
"672","BB53",5887,"Worker","NaN",1
"673","BB53",5756,"Queen_n","NaN",1
"674","BB53",6941,"Queen_n","NaN",1
"675","BB53",5750,"Male","NaN",1
"676","BB53",6994,"Queen_n","NaN",1
"677","BB53",7236,"Worker","NaN",1
"678","BB53",6935,"Worker","NaN",1
"679","BB53",5978,"Male","NaN",1
"680","BB53",7206,"Worker","NaN",1
"681","BB53",6918,"Queen_n","NaN",1
"682","BB53",5915,"Queen_n","NaN",1
"683","BB53",6570,"Male","NaN",1
"684","BB53",6636,"Worker","NaN",1
"685","BB53",6795,"Male","NaN",1
"686","BB53",7331,"Male","NaN",1
"687","BB53",5757,"Male","NaN",1
"688","BB53",7005,"Worker","NaN",1
"689","BB53",6999,"Worker","NaN",1
"690","BB53",6799,"Worker","NaN",1
"691","BB53",6839,"Male","NaN",1
"692","BB53",5812,"Male","NaN",1
"693","BB53",6938,"Male","NaN",1
"694","BB53",6841,"Male","NaN",1
"695","BB53",7171,"Male","NaN",1
"696","BB53",7102,"Male","NaN",1
"697","BB53",3395,"Male","NaN",1
"698","BB53",6998,"Male","NaN",1
"699","BB53",7264,"Male","NaN",1
"700","BB53",6499,"Queen_n","NaN",1
"701","BB53",6182,"Worker","NaN",1
"702","BB53",6868,"Worker","NaN",1
"703","BB53",5690,"Male","NaN",1
"704","BB53",6936,"Worker","NaN",1
"705","BB53",6784,"Male","NaN",1
"706","BB53",6886,"Male","NaN",1
"707","BB53",6627,"Queen_n","NaN",1
"708","BB53",5943,"Queen_n","NaN",1
"709","BB53",7154,"Queen_n","NaN",1
"710","BB53",6537,"Male","NaN",1
"711","BB53",5822,"Queen_n","NaN",1
"712","BB53",5852,"Queen_n","NaN",1
"713","BB53",6504,"Male","NaN",1
"714","BB53",5982,"Male","NaN",1
