"","colonyID","tagNumber","qwm","callow","block"
"262","BI205",1695,"Worker","NaN",1
"263","BI205",1661,"Worker","NaN",1
"264","BI205",1057,"Worker","NaN",1
"265","BI205",1185,"Worker","NaN",1
"266","BI205",2001,"Worker","NaN",1
"267","BI205",2842,"Worker","NaN",1
"268","BI205",894,"Worker","NaN",1
"269","BI205",1853,"Worker","NaN",1
"270","BI205",143,"Worker","NaN",1
"271","BI205",1029,"Worker","NaN",1
"272","BI205",986,"Worker","NaN",1
"273","BI205",1166,"Worker","NaN",1
"274","BI205",448,"Worker","NaN",1
"275","BI205",1585,"Worker","NaN",1
"276","BI205",1167,"Worker","NaN",1
"277","BI205",829,"Queen","NaN",1
"278","BI205",290,"Worker","NaN",1
"279","BI205",366,"Worker","NaN",1
"280","BI205",1905,"Worker","NaN",1
"281","BI205",630,"Worker","NaN",1
"282","BI205",1126,"Worker","NaN",1
"283","BI205",2837,"Worker","NaN",1
"284","BI205",484,"Worker","NaN",1
"285","BI205",1691,"Worker","NaN",1
"286","BI205",1122,"Worker","NaN",1
"287","BI205",1883,"Worker","Callow",1
"288","BI205",290,"Worker","Callow",1
"289","BI205",1034,"Worker","NaN",1
"290","BI205",990,"Worker","NaN",1
"291","BI205",925,"Worker","NaN",1
"292","BI205",1476,"Worker","NaN",1
"293","BI205",1156,"Worker","NaN",1
"294","BI205",885,"Worker","NaN",1
"295","BI205",626,"Worker","NaN",1
"296","BI205",1887,"Worker","Callow",1
"297","BI205",3204,"Worker","NaN",1
"298","BI205",2846,"Worker","NaN",1
"299","BI205",2032,"Worker","NaN",1
"300","BI205",1066,"Worker","NaN",1
"301","BI205",1756,"Worker","NaN",1
"302","BI205",1919,"Worker","NaN",1
"303","BI205",981,"Worker","NaN",1
"304","BI205",692,"Worker","NaN",1
"305","BI205",1750,"Worker","NaN",1
"306","BI205",636,"Worker","NaN",1
"307","BI205",334,"Worker","NaN",1
"308","BI205",1655,"Worker","NaN",1
"309","BI205",422,"Worker","NaN",1
"310","BI205",1318,"Worker","NaN",1
"311","BI205",1945,"Worker","NaN",1
"312","BI205",2000,"Worker","NaN",1
"313","BI205",723,"Worker","NaN",1
"314","BI205",1746,"Worker","NaN",1
"315","BI205",632,"Worker","NaN",1
"316","BI205",1008,"Worker","NaN",1
"317","BI205",888,"Worker","NaN",1
"318","BI205",486,"Worker","NaN",1
"319","BI205",1039,"Worker","NaN",1
