"","colonyID","tagNumber","qwm","callow","block"
"461","BI72",3428,"Worker","NaN",1
"462","BI72",1614,"Worker","NaN",1
"463","BI72",1629,"Worker","NaN",1
"464","BI72",3174,"Worker","NaN",1
"465","BI72",2930,"Worker","NaN",1
"466","BI72",2931,"Worker","NaN",1
"467","BI72",1091,"Worker","NaN",1
"468","BI72",3036,"Worker","NaN",1
"469","BI72",2178,"Worker","NaN",1
"470","BI72",1009,"Worker","NaN",1
"471","BI72",2056,"Worker","NaN",1
"472","BI72",2935,"Worker","NaN",1
"473","BI72",2875,"Worker","NaN",1
"474","BI72",3074,"Worker","NaN",1
"475","BI72",226,"Worker","NaN",1
"476","BI72",3026,"Worker","Callow",1
"477","BI72",2183,"Worker","NaN",1
"478","BI72",2868,"Worker","NaN",1
"479","BI72",2340,"Worker","NaN",1
"480","BI72",463,"Worker","NaN",1
"481","BI72",2309,"Worker","Callow",1
"482","BI72",3151,"Worker","NaN",1
"483","BI72",571,"Worker","NaN",1
"484","BI72",3465,"Worker","NaN",1
"485","BI72",2899,"Worker","NaN",1
"486","BI72",2934,"Worker","Callow",1
"487","BI72",3137,"Worker","NaN",1
"488","BI72",3112,"Worker","NaN",1
"489","BI72",3037,"Worker","NaN",1
"490","BI72",3502,"Worker","NaN",1
"491","BI72",2346,"Worker","NaN",1
"492","BI72",2347,"Worker","NaN",1
"493","BI72",2996,"Worker","NaN",1
"494","BI72",2408,"Worker","NaN",1
"495","BI72",106,"Worker","NaN",1
"496","BI72",2144,"Worker","NaN",1
"497","BI72",2374,"Worker","NaN",1
"498","BI72",3394,"Worker","NaN",1
"499","BI72",3304,"Worker","NaN",1
"500","BI72",2051,"Worker","NaN",1
"501","BI72",3169,"Worker","NaN",1
"502","BI72",2903,"Worker","NaN",1
"503","BI72",2087,"Worker","NaN",1
"504","BI72",3265,"Worker","NaN",1
"505","BI72",2308,"Worker","NaN",1
"506","BI72",2123,"Worker","NaN",1
"507","BI72",2276,"Worker","NaN",1
"508","BI72",2047,"Worker","NaN",1
"509","BI72",2046,"Worker","NaN",1
"510","BI72",2941,"Worker","NaN",1
"511","BI72",2273,"Worker","NaN",1
"512","BI72",1974,"Worker","NaN",1
"513","BI72",2244,"Worker","NaN",1
"514","BI72",2088,"Worker","NaN",1
"515","BI72",1785,"Worker","NaN",1
"516","BI72",2250,"Worker","NaN",1
"517","BI72",918,"Worker","NaN",1
"518","BI72",1717,"Worker","NaN",1
"519","BI72",2070,"Worker","NaN",1
"520","BI72",2126,"Worker","NaN",1
"521","BI72",2220,"Worker","NaN",1
"522","BI72",2054,"Worker","NaN",1
"523","BI72",2149,"Worker","NaN",1
"524","BI72",2337,"Worker","NaN",1
"525","BI72",3172,"Worker","NaN",1
"526","BI72",2402,"Worker","NaN",1
"527","BI72",2241,"Worker","NaN",1
"528","BI72",2380,"Worker","NaN",1
"529","BI72",2964,"Worker","NaN",1
"530","BI72",848,"Worker","NaN",1
"531","BI72",2061,"Worker","NaN",1
"532","BI72",3182,"Worker","NaN",1
"533","BI72",2371,"Worker","NaN",1
"534","BI72",3171,"Worker","NaN",1
"535","BI72",2214,"Worker","NaN",1
"536","BI72",2117,"Worker","NaN",1
"537","BI72",2318,"Worker","NaN",1
"538","BI72",2122,"Worker","NaN",1
"539","BI72",2210,"Worker","NaN",1
"540","BI72",2043,"Worker","NaN",1
"541","BI72",2905,"Worker","NaN",1
"542","BI72",2155,"Worker","NaN",1
"543","BI72",3499,"Worker","NaN",1
"544","BI72",2055,"Worker","NaN",1
"545","BI72",1942,"Worker","NaN",1
"546","BI72",2127,"Worker","NaN",1
"547","BI72",2116,"Worker","NaN",1
"548","BI72",2042,"Worker","NaN",1
"549","BI72",2184,"Worker","NaN",1
"550","BI72",2245,"Worker","NaN",1
"551","BI72",1650,"Worker","NaN",1
"552","BI72",2403,"Worker","NaN",1
