,mean_min_distance_to_brood,num_brood_interactions,mean_dist_other_bees,total_social_interactions,countable_interaction_frames,activity,speed_when_moving,distance_to_social_center,frames_tracked,tag_ids,video_file,block,colony,timestamp,time_num,nest_temp
27,1.06128875522197,144,4.3737767075637635,0,154,0.0,,1.8769798476127701,72,40,microcol_10-2021-11-18_13-18-01.mjpeg,3,10,2021-11-18_13-18-01,321.5541782407407,23.656
28,1.4566043891731013,75,4.810977422331254,0,158,0.0,,1.861932983309994,75,47,microcol_10-2021-11-18_13-18-01.mjpeg,3,10,2021-11-18_13-18-01,321.5541782407407,23.656
29,3.5915333816952413,0,6.842670336142425,0,142,0.0,,3.0567550341119243,75,31,microcol_10-2021-11-18_13-20-01.mjpeg,3,10,2021-11-18_13-20-01,321.55556712962965,23.103
30,7.286506419636413,0,8.57181844653891,0,15,0.0,,8.407874246782155,5,37,microcol_10-2021-11-18_13-20-01.mjpeg,3,10,2021-11-18_13-20-01,321.55556712962965,23.103
31,1.0596785526564538,124,4.572771166186913,0,129,0.0,,1.9137232305744145,62,40,microcol_10-2021-11-18_13-20-01.mjpeg,3,10,2021-11-18_13-20-01,321.55556712962965,23.103
32,1.4281223681783437,75,4.924482413843395,0,142,0.0,,1.7824488070477578,75,47,microcol_10-2021-11-18_13-20-01.mjpeg,3,10,2021-11-18_13-20-01,321.55556712962965,23.103
33,3.606370912233433,0,4.749625292613086,0,150,0.0,,3.1330682001329695,75,31,microcol_10-2021-11-18_13-22-01.mjpeg,3,10,2021-11-18_13-22-01,321.5569560185185,21.997
34,0.6502383847649214,75,3.123570592199994,75,150,0.0,,1.8094721097303794,75,40,microcol_10-2021-11-18_13-22-01.mjpeg,3,10,2021-11-18_13-22-01,321.5569560185185,21.997
35,1.3773081712687605,75,3.0173928731314503,75,150,0.0,,1.6130042654337584,75,47,microcol_10-2021-11-18_13-22-01.mjpeg,3,10,2021-11-18_13-22-01,321.5569560185185,21.997
36,3.7266836535994345,0,6.471312947540504,0,155,0.0,,3.4935010599271776,75,31,microcol_10-2021-11-18_13-24-01.mjpeg,3,10,2021-11-18_13-24-01,321.5583449074074,24.094
37,6.8769459830181985,0,7.393628852701167,0,15,0.0,,6.932815375411362,5,38,microcol_10-2021-11-18_13-24-01.mjpeg,3,10,2021-11-18_13-24-01,321.5583449074074,24.094
38,0.35912293033868353,150,4.115482007945518,75,155,0.0,,1.2555598448135188,75,40,microcol_10-2021-11-18_13-24-01.mjpeg,3,10,2021-11-18_13-24-01,321.5583449074074,24.094
39,1.2315797182171402,75,4.240616819450994,75,155,0.0,,2.0600836186590126,75,47,microcol_10-2021-11-18_13-24-01.mjpeg,3,10,2021-11-18_13-24-01,321.5583449074074,24.094
40,6.740492304345131,0,5.946164761275192,0,18,0.0,,6.252518908209188,5,29,microcol_10-2021-11-18_13-26-01.mjpeg,3,10,2021-11-18_13-26-01,321.5597337962963,21.36
41,3.721776688121165,0,6.962758877876512,0,170,0.0,,3.731775672642081,75,31,microcol_10-2021-11-18_13-26-01.mjpeg,3,10,2021-11-18_13-26-01,321.5597337962963,21.36
42,6.903214369604492,0,6.364489777117305,0,48,0.3333333333333333,1.3446569443918859,7.029291417038686,15,37,microcol_10-2021-11-18_13-26-01.mjpeg,3,10,2021-11-18_13-26-01,321.5597337962963,21.36
43,0.3673121901345458,150,4.7579524683121655,75,170,0.0,,1.108977648837641,75,40,microcol_10-2021-11-18_13-26-01.mjpeg,3,10,2021-11-18_13-26-01,321.5597337962963,21.36
44,1.2234428435090536,75,4.791224824741868,75,170,0.0,,1.8268045107363495,75,47,microcol_10-2021-11-18_13-26-01.mjpeg,3,10,2021-11-18_13-26-01,321.5597337962963,21.36
45,10.12633767359852,0,9.537707603402357,0,45,0.6923076923076923,1.0613290327575688,8.898183710976506,15,29,microcol_10-2021-11-18_13-28-01.mjpeg,3,10,2021-11-18_13-28-01,321.5611226851852,23.24
46,3.565093216449178,0,7.2052213455892735,0,170,0.0,,2.996120620345691,75,31,microcol_10-2021-11-18_13-28-01.mjpeg,3,10,2021-11-18_13-28-01,321.5611226851852,23.24
47,7.283047214427367,0,8.418127342783896,0,15,0.0,,8.64382016521073,5,37,microcol_10-2021-11-18_13-28-01.mjpeg,3,10,2021-11-18_13-28-01,321.5611226851852,23.24
48,1.5467672282096614,0,6.452001744970092,0,170,0.02702702702702703,0.0807642913968988,2.8862308564699344,75,40,microcol_10-2021-11-18_13-28-01.mjpeg,3,10,2021-11-18_13-28-01,321.5611226851852,23.24
49,1.5272800816198915,35,6.143607615732727,0,170,0.5135135135135135,0.1717574476163044,1.5195172821018612,75,47,microcol_10-2021-11-18_13-28-01.mjpeg,3,10,2021-11-18_13-28-01,321.5611226851852,23.24
50,3.6135073936166444,0,4.804946211770552,0,150,0.04054054054054054,0.11230517138602433,3.1126927773828026,75,31,microcol_10-2021-11-18_13-30-01.mjpeg,3,10,2021-11-18_13-30-01,321.56251157407405,23.076
51,2.1213628124893567,0,4.192540124269819,0,150,0.013513513513513514,0.05598425229415803,2.6304211360580396,75,40,microcol_10-2021-11-18_13-30-01.mjpeg,3,10,2021-11-18_13-30-01,321.56251157407405,23.076
52,0.49488972482985166,150,3.391304683564884,0,150,0.05405405405405406,0.07089048138821986,1.3365343008700061,75,47,microcol_10-2021-11-18_13-30-01.mjpeg,3,10,2021-11-18_13-30-01,321.56251157407405,23.076
53,2.3622314064493293,0,3.7953750476284576,39,120,0.0,,1.390523020344518,39,29,microcol_10-2021-11-18_13-34-01.mjpeg,3,10,2021-11-18_13-34-01,321.56528935185185,23.619
54,3.7122575146702905,0,4.974239265712128,0,194,0.0,,2.7077180385549577,75,31,microcol_10-2021-11-18_13-34-01.mjpeg,3,10,2021-11-18_13-34-01,321.56528935185185,23.619
55,6.880052228911332,0,8.157776458578601,0,18,0.0,,7.83704925797698,5,38,microcol_10-2021-11-18_13-34-01.mjpeg,3,10,2021-11-18_13-34-01,321.56528935185185,23.619
