Colony ID,Tag List,Queen/male,Callow
BI106,3377,,
BI106,1622,,
BI106,1292,,
BI106,3033,,
BI106,3032,,
BI106,3177,,
BI106,3116,,
BI106,2909,,
BI106,1024,,
BI106,1848,,
BI106,952,,
BI106,2005,,
BI106,1726,,Callow
BI106,3146,,
BI106,3002,,
BI106,2092,,
BI106,2377,,
BI106,3113,,
BI106,2015,,
BI106,915,,
BI106,1127,,
BI106,3234,,
BI106,3063,,
BI106,2997,,
BI106,2182,,
BI106,2992,,
BI106,1904,,
BI106,2254,,
BI106,1938,,
BI106,3030,,
BI106,2902,,
BI106,2874,,
BI106,3136,,
BI106,2975,,
BI106,3427,,
BI106,3082,,
BI106,2965,,
BI106,3147,,
BI106,1970,,
BI106,3084,,
BI106,2898,,
BI106,2974,,
BI106,824,,
BI106,2971,Queen,
BI106,3462,,
BI106,3031,,
BI106,858,,
BI106,1849,,
BI106,1656,,
BI106,895,,
BI106,3080,,
BI106,2970,,
BI106,1811,,
BI106,656,,
BI106,3338,,
BI106,3533,,
BI106,3213,,
BI106,1654,,
BI106,1184,,
BI106,2904,,
BI106,3006,,
BI106,2940,,
BI106,977,,
BI106,1628,,
BI106,3141,,
BI106,2014,,
BI106,1971,,
BI106,3342,,
BI106,2093,,
BI106,9,,
BI106,2216,,
BI106,3106,,
BI106,2960,,
BI106,1660,,
BI106,480,,
BI106,3059,,
BI106,3140,,
BI106,3068,,
BI106,853,,
BI106,2937,,Callow
BI106,946,,
BI106,2217,,
BI106,3058,,
BI106,755,,
BI106,2843,,
BI106,1157,,
BI106,103,,
BI106,2304,,
BI106,1194,,
BI106,2908,,
BI106,3554,,
BI106,793,,
BI106,1846,,
BI106,3603,,
BI106,2145,,
BI106,2036,,
BI106,458,,
BI106,1056,,Callow
BI106,575,,
BI106,1289,,
BI106,1752,,
BI106,3079,,
BI72,3428,,
BI72,1614,,
BI72,1629,,
BI72,3174,,
BI72,2930,,
BI72,2931,,
BI72,1091,,
BI72,3036,,
BI72,2178,,
BI72,1009,,
BI72,2056,,
BI72,2935,,
BI72,2875,,
BI72,3074,,
BI72,226,,
BI72,3026,,Callow
BI72,2183,,
BI72,2868,,
BI72,2340,,
BI72,463,,
BI72,2309,,Callow
BI72,3151,,
BI72,571,,
BI72,3465,,
BI72,2899,,
BI72,2934,,Callow
BI72,3137,,
BI72,3112,,
BI72,3037,,
BI72,3502,,
BI72,2346,,
BI72,2347,,
BI72,2996,,
BI72,2408,,
BI72,106,,
BI72,2144,,
BI72,2374,,
BI72,3394,,
BI72,3304,,
BI72,2051,,
BI72,3169,,
BI72,2903,,
BI72,2087,,
BI72,3265,,
BI72,2308,,
BI72,2123,,
BI72,2276,,
BI72,2047,,
BI72,2046,,
BI72,2941,,
BI72,2273,,
BI72,1974,,
BI72,2244,,
BI72,2088,,
BI72,1785,,
BI72,2250,,
BI72,918,,
BI72,1717,,
BI72,2070,,
BI72,2126,,
BI72,2220,,
BI72,2054,,
BI72,2149,,
BI72,2337,,
BI72,3172,,
BI72,2402,,
BI72,2241,,
BI72,2380,,
BI72,2964,,
BI72,848,,
BI72,2061,,
BI72,3182,,
BI72,2371,,
BI72,3171,,
BI72,2214,,
BI72,2117,,
BI72,2318,,
BI72,2122,,
BI72,2210,,
BI72,2043,,
BI72,2905,,
BI72,2155,,
BI72,3499,,
BI72,2055,,
BI72,1942,,
BI72,2127,,
BI72,2116,,
BI72,2042,,
BI72,2184,,
BI72,2245,,
BI72,1650,,
BI72,2403,,
BI66,688,,
BI66,2240,,
BI66,3460,,
BI66,3328,,
BI66,3613,,
BI66,852,,
BI66,3364,,
BI66,3498,,
BI66,3375,,
BI66,2251,,
BI66,3529,,
BI66,3336,,
BI66,3605,,
BI66,3602,,
BI66,3470,,
BI66,3360,,
BI66,3493,,Callow
BI66,3279,,
BI66,3562,,
BI66,2057,,
BI66,3639,,
BI66,2154,,
BI66,3560,,
BI66,3522,,
BI66,3333,,
BI66,3437,,
BI66,3559,,
BI66,2082,,
BI66,3638,,Callow
BI66,1219,,
BI66,3400,,
BI66,2315,,
BI66,2277,,
BI66,3557,,
BI66,1022,,
BI66,3240,,
BI66,2376,,
BI66,3329,,
BI66,2407,,
BI66,3426,,
BI66,2185,,
BI66,3523,,
BI66,698,,
BI66,2351,,
BI66,1886,,
BI66,3239,,
BI66,3245,,
BI66,3607,,
BI66,3310,,
BI66,2010,,
BI66,2936,,
BI66,3270,,
BI66,3471,,
BI66,2961,,
BI66,2406,,
BI66,2282,,
BI66,3503,,
BI66,2283,,
BI66,2113,,
BI66,3635,,
BI66,3301,,
BI66,3111,,
BI66,3275,,
BI66,3609,,
BI66,3278,,
BI66,3361,,
BI66,3235,,
BI66,3064,,
BI66,3402,,
BI66,2350,,
BI66,2112,,
BI66,3150,,
BI66,3303,,
BI66,3489,,
BI66,3110,,
BI66,2215,,
BI66,3456,,
BI66,1949,,
BI66,2188,,
BI66,2314,,
BB37,3399,,
BB37,3268,,
BB37,2148,,
BB37,3335,,
BB37,947,,
BB37,3488,,
BB37,3117,,
BB37,3532,,
BB37,2319,,
BB37,3435,,
BB37,3457,,
BB37,3007,,
BB37,3575,,
BB37,2878,,
BB37,2087,,
BB37,3405,,
BB37,2272,,
BB37,3564,,
BB37,2211,,
BB37,3077,,
BB37,2287,,
BB37,3095,,
