Colony ID,Tag List,Queen/male,Callow
BB53,6684,Queen_n,
BB53,5968,Male,
BB53,6929,,
BB53,7083,Male,
BB53,6675,Male,
BB53,5849,Male,
BB53,7057,Male,
BB53,6679,Queen_n,
BB53,6844,,
BB53,7274,Male,
BB53,6509,Male,
BB53,6995,Male,
BB53,5751,,
BB53,7089,Queen_n,
BB53,4924,Male,
BB53,6595,Queen_n,
BB53,6798,Male,
BB53,5887,,
BB53,5756,Queen_n,
BB53,6941,Queen_n,
BB53,5750,Male,
BB53,6994,Queen_n,
BB53,7236,,
BB53,6935,,
BB53,5978,Male,
BB53,7206,,
BB53,6918,Queen_n,
BB53,5915,Queen_n,
BB53,6570,Male,
BB53,6636,,
BB53,6795,Male,
BB53,7331,Male,
BB53,5757,Male,
BB53,7005,,
BB53,6999,,
BB53,6799,,
BB53,6839,Male,
BB53,5812,Male,
BB53,6938,Male,
BB53,6841,Male,
BB53,7171,Male,
BB53,7102,Male,
BB53,3395,Male,
BB53,6998,Male,
BB53,7264,Male,
BB53,6499,Queen_n,
BB53,6182,,
BB53,6868,,
BB53,5690,Male,
BB53,6936,,
BB53,6784,Male,
BB53,6886,Male,
BB53,6627,Queen_n,
BB53,5943,Queen_n,
BB53,7154,Queen_n,
BB53,6537,Male,
BB53,5822,Queen_n,
BB53,5852,Queen_n,
BB53,6504,Male,
BB53,5982,Male,
BI80,5134,Male,
BI80,6401,,
BI80,6369,Male,
BI80,6442,,
BI80,4914,,
BI80,5156,,
BI80,6373,Male,
BI80,3710,Male,
BI80,6331,Male,
BI80,6285,Male,
BI80,4986,Male,
BI80,6433,Male,
BI80,5163,Queen_n,
BI80,6254,,
BI80,6372,,
BI80,6240,,
BI80,6350,Queen_n,
BI80,6279,Queen_n,
BI80,6106,Queen_n,
BI80,4915,,
BI80,4977,Male,
BI80,5115,,
BI80,5105,Male,
BI80,3669,Queen_n,
BI80,6096,Male,
BI80,5086,Queen_n,
BI80,5014,Male,
BI80,6142,,
BI80,6313,,
BI80,6179,Male,
BI80,6189,Queen_n,
BI80,4958,Male,
BI80,6437,Queen_n,
BI80,4882,Queen_n,
BI80,6101,Male,
BI80,6324,Queen_n,
BI80,5126,Male,
BI80,3696,,
BI80,4918,Queen_n,
BI80,6107,Queen_n,
BI80,5191,,
BI80,3739,Male,
BI80,5052,Queen_n,
BI109,6151,,
BI109,7132,Male,
BI109,6258,Male,
BI109,5252,,
BI109,7035,Queen_n,
BI109,5223,Queen_n,
BI109,6736,Male,
BI109,3665,Male,
BI109,6284,,
BI109,6970,Queen_n,
BI109,4945,Male,
BI109,5043,Male,
BI109,6783,,
BI109,4892,Male,
BI109,6241,Queen,
BI40,5073,,
BI40,6223,,
BI40,5196,Queen,
BI40,3668,,
BI40,3679,,
BI40,5021,,
BI40,6294,,
BI40,5011,,
BI40,6400,,
BI40,5042,,
BI40,4920,,
BI40,5219,,
BI40,5077,,
BI40,6129,,
BI40,6383,,
