Colony ID,Tag Number,Queen/Worker/Male?,Callow?
BI91,6310,,
BI91,1446,,
BI91,6479,,
BI91,2610,Queen,
BI91,1482,,
BI91,6359,,
BI91,6255,,
BI91,6254,,
BI91,6249,,
BI91,914,,
BI91,1421,,
BI91,6212,,
BI91,6411,,
BI91,6373,,
BI91,6337,,
BI91,1377,,
BI91,2614,,
BI91,1410,,
BI91,859,,
BI91,6372,,
BI91,6340,,
BI91,6281,,
BI183,2805,,
BI183,1623,,
BI183,1222,Queen,
BI183,1256,,
BI183,2537,,
BI183,2640,,
BI183,1472,,
BI183,2641,,
BI183,1588,,
BI183,2810,,
BI183,1509,,
BI183,1473,,
BI183,1477,,
BI183,1624,,
BI183,1556,,
BI183,2413,,
BI183,2588,,
BI183,1552,,
BI183,2433,,
BI183,1260,,
BI183,1380,,
BI183,1359,,
BI183,2769,,
BI183,1563,,
BI183,1321,,
BI183,2687,,
BI141,1504,Queen,
BI141,1320,,
BI141,1348,,
BI141,1381,,
BI141,2713,,
BI141,2748,,
BI141,1443,,
BI141,1486,,
BI141,2437,,
BI141,1288,,
BI141,1314,,
BI141,1325,,
BI141,1514,,
BI141,1358,,
BI141,2468,,
BI141,2509,,
BI141,1391,,
BI141,1619,,
BI141,1261,,
BI41,2508,Queen,
BI41,1257,,
BI41,1420,,
BI41,1255,,
BI41,1354,,
BI41,1287,,
BI41,2712,,
BI41,1505,,
BI41,2465,,
BI41,2432,,
BI41,2811,,
BI41,1518,,
BI41,2446,,
BI41,1293,,
BI41,1414,,
BI41,2749,,
BI41,2504,,
BI41,1251,,
BI41,2469,,
BI41,2800,,
BI41,1355,,
BI41,2505,,
BI41,1448,,
