Colony ID,Tag Number,Queen/Worker/Male?,Callow?
BI24,1594,Queen,
BI24,1390,Worker,
BI24,2717,Worker,
BI24,1345,Worker,
BB50,1589,Queen,
BB50,2597,Worker,
BB50,1315,Worker,
BB50,1229,Worker,
BB246,2436,Queen,
BB246,2464,Male,x
BB246,1254,Worker,
BB246,1416,Worker,
BB246,1598,Worker,
BB155,1508,Queen,
BB155,1519,Worker,
BB155,1449,Worker,
BB155,2502,Worker,x
BB155,2651,Worker,x
BB155,2682,Worker,x
