Colony ID,Tag List,Queen/male,Callow
BG239,1023,Queen_n,
BG239,987,Queen_n,
BG239,914,,
BG239,489,,
BG239,1067,,
BG239,953,Queen_n,
BG239,880,,
BG239,790,Queen_n,
BG239,407,,
BG239,1038,,
BG239,329,,
BG239,1028,Queen,
BG239,1096,Queen_n,
BB248,1071,,
BB248,1129,Male,Callow
BB248,859,,
BB248,1095,Queen,
BB248,425,,
BB248,1019,,
BB248,1070,,
BB248,235,,
BB248,1163,,
BB248,1090,,
BB248,1018,,
BB248,14,,
BB248,1101,Male,Callow
BB59,1189,,
BB59,1013,,
BB59,825,Queen_n,
BB59,976,,
BB59,1162,,
