"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"mc.pc1.full.model.s4",10,75525.0817497159,75611.3718008472,-37752.540874858,75505.0817497159,NA,NA,NA
"mc.pc1.full.model.s1",11,75526.5729790966,75621.492035341,-37752.2864895483,75504.5729790966,0.508770619271672,1,0.475671530399171
"mc.pc1.full.model.s2",11,75520.3790186684,75615.2980749128,-37749.1895093342,75498.3790186684,6.19396042823792,0,NA
"mc.pc1.full.model.s3",11,75521.9415789258,75616.8606351702,-37749.9707894629,75499.9415789258,0,0,NA
"mc.pc1.full.model",14,75504.5416387667,75625.3477103505,-37738.2708193833,75476.5416387667,23.3999401591718,3,3.33279871906167e-05
