"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"pc1.recovery.model.s4",9,5618.47994676,5669.55986078285,-2800.23997338,5600.47994676,NA,NA,NA
"pc1.recovery.model.s1",10,5620.05559668484,5676.81105671022,-2800.02779834242,5600.05559668484,0.42435007516815,1,0.514774383807599
"pc1.recovery.model.s2",10,5618.4271455619,5675.18260558728,-2799.21357278095,5598.4271455619,1.62845112293508,0,NA
"pc1.recovery.model.s3",10,5620.05559668484,5676.81105671022,-2800.02779834242,5600.05559668484,0,0,NA
"pc1.recovery.model",13,5597.31895367847,5671.10105171146,-2785.65947683923,5571.31895367847,28.7366430063748,3,2.54371427471794e-06
"pc1.recovery.model.tmp.sp.int",15,5600.94259926704,5686.07578930511,-2785.47129963352,5570.94259926704,0.376354411426291,2,0.828467884981817
