"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"pc1.active.response.model.s4",12,22707.3648889465,22793.5457103261,-11341.6824444732,22683.3648889465,NA,NA,NA
"pc1.active.response.model.s1",13,22709.3042054734,22802.666761968,-11341.6521027367,22683.3042054734,0.0606834730460832,1,0.805418926559706
"pc1.active.response.model.s2",13,22708.7128736752,22802.0754301698,-11341.3564368376,22682.7128736752,0.591331798215833,0,NA
"pc1.active.response.model.s3",13,22709.3042054734,22802.666761968,-11341.6521027367,22683.3042054734,0,0,NA
"pc1.active.response.model.s5",13,22709.2759810637,22802.6385375583,-11341.6379905319,22683.2759810637,0.0282244096997601,0,NA
"pc1.active.response.model",16,22698.6923675411,22813.6001293806,-11333.3461837706,22666.6923675411,16.5836135225727,3,0.000860681441007527
"pc1.active.response.model.s6",18,22700.5173746368,22829.7886067062,-11332.2586873184,22664.5173746368,2.1749929043508,2,0.337059282318746
