"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"brood.temp.recovery.model.s4",8,637.489934567908,664.417742688083,-310.744967283954,621.489934567908,NA,NA,NA
"brood.temp.recovery.model.s1",9,637.257596883701,667.551381018898,-309.628798441851,619.257596883701,2.23233768420721,1,0.135149232632681
"brood.temp.recovery.model.s2",9,639.466821264123,669.76060539932,-310.733410632062,621.466821264123,0,0,NA
"brood.temp.recovery.model.s3",9,629.737393015045,660.031177150242,-305.868696507522,611.737393015045,9.7294282490783,0,NA
"brood.temp.recovery.model",12,622.727162219411,663.118874399673,-299.363581109706,598.727162219411,13.0102307956338,3,0.00461453291131489
