"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"pc1.response.model.by.incubator.s4",9,2753.84036652228,2799.27584420078,-1367.92018326114,2735.84036652228,NA,NA,NA
"pc1.response.model.by.incubator.s1",10,2750.55553807411,2801.03940216133,-1365.27776903705,2730.55553807411,5.28482844817518,1,0.0215120114308916
"pc1.response.model.by.incubator.s2",10,2748.45452764281,2798.93839173003,-1364.22726382141,2728.45452764281,2.10101043129862,0,NA
"pc1.response.model.by.incubator.s3",10,2744.97512832589,2795.45899241311,-1362.48756416294,2724.97512832589,3.47939931692144,0,NA
"pc1.response.model.by.incubator",13,2732.86781364064,2798.49683695403,-1353.43390682032,2706.86781364064,18.107314685245,3,0.000417992373365102
