"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"gen.model.s5",8,557.20315673225,573.26182221411,-270.601578366125,541.20315673225,NA,NA,NA
"gen.model.s4",9,548.622702633466,566.688701300558,-265.311351316733,530.622702633466,10.5804540987846,1,0.00114289583052564
"gen.model.s1",10,545.457417579687,565.530749432011,-262.728708789843,525.457417579687,5.16528505377892,1,0.0230426758364141
"gen.model.s2",10,549.585315641515,569.65864749384,-264.792657820757,529.585315641515,0,0,NA
"gen.model.s3",10,550.417830200606,570.49116205293,-265.208915100303,530.417830200606,0,0,NA
"gen.model",14,500.664172051131,528.766836644385,-236.332086025565,472.664172051131,57.7536581494749,4,8.59581342625196e-12
