dateNum,block,rigPosition,occRateBrood,occRateWP,meanTempOccBrood,meanTempUnoccBrood,meanTempOccWP,meanTempUnoccWP,meanTempBrood_all,meanTempWP_all,meanTemp_offNest,meanBodyTemp,nestAirTemp,outsideNestTemp,tempRampState,thermImOffset,thermIm95Int
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737660.522175926,2,3,NaN,0.294117647058824,NaN,NaN,25.7496530781718,26.3180086337273,NaN,25.8572314217392,26.3751723162825,25.7064530781718,26.53125,26.6875,3,-3.04954692182827,1.8054584408907
737660.527928241,2,3,NaN,0,NaN,NaN,NaN,26.2132749449023,NaN,25.830305502226,26.3747435791546,25.5621811949023,26.5625,26.6875,3,-3.28381880509774,1.8905760207803
737660.534780093,2,3,NaN,0.0235294117647059,NaN,NaN,25.1124503531131,26.142642928816,NaN,25.8857387038123,26.304106852801,25.6089530216198,26.5625,26.6875,3,2.94095302161973,2.27100961658162
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737660.547430556,2,3,NaN,0.117647058823529,NaN,NaN,26.2564761254973,26.7086094588306,NaN,26.4259185397551,26.6845010792775,NaN,26.53125,26.625,3,0.660476125497235,2.27467896203657
737660.553055556,2,3,NaN,0.176470588235294,NaN,NaN,26.1840207901074,26.6239173418315,NaN,26.289162170967,26.6376028117734,26.1380207901074,26.5625,26.6875,3,-0.589979209892623,2.46002331358079
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737660.565856481,2,3,NaN,0.235294117647059,NaN,NaN,26.2163240357713,26.690648980746,NaN,26.3006085217523,26.692567864001,26.1914208626241,26.5625,26.6875,3,-2.22457913737589,2.3699505912271
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737660.578402778,2,3,NaN,0.411764705882353,NaN,NaN,25.4728877022895,26.0709324494892,NaN,25.5680761360708,26.1758340062145,25.4542596016993,26.5625,26.6875,4,-2.47574039830072,2.26441357253044
